Name,Calories,Image URL,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Tortilla Rollups II,176,https://images.media-allrecipes.com/userphotos/300x300/14114.jpg,20,8.6 ,19.3,5.3 ,18 ,317 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21041/tortilla-rollups-ii/
Asparagus Wrapped in Crisp Prosciutto,64,https://images.media-allrecipes.com/userphotos/300x300/387218.jpg,16,5.4 ,0.6,3.1 ,13 ,279 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/73565/asparagus-wrapped-in-crisp-prosciutto/
Pecan Snack,117,https://images.media-allrecipes.com/userphotos/300x300/4102938.jpg,32,10.2 ,6.7,1.4 ,0 ,74 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/27157/pecan-snack/
Caramelized Chicken Wings,528,https://images.media-allrecipes.com/userphotos/300x300/619834.jpg,6,32.4 ,22.4,36.2 ,142 ,963 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/217092/caramelized-chicken-wings/
Shrimpcargot,203,https://images.media-allrecipes.com/userphotos/300x300/630516.jpg,3,17 ,2.4,11.1 ,108 ,202 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/165535/shrimpcargot/
Asian Roll Lettuce Wrap,369,https://images.media-allrecipes.com/userphotos/300x300/834236.jpg,4,9.9 ,42.8,28.6 ,84 ,951 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/32202/asian-roll-lettuce-wrap/
Baked Buffalo Chicken Dip,407,https://images.media-allrecipes.com/userphotos/300x300/4497509.jpg,8,35.9 ,3.2,17.1 ,107 ,1093 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/221131/baked-buffalo-chicken-dip/
Spinach Balls,259,https://images.media-allrecipes.com/userphotos/300x300/175607.jpg,11,12.2 ,29.6,8.2 ,76 ,732 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25273/spinach-balls/
Jet Swirl Pizza Appetizers,456,https://images.media-allrecipes.com/userphotos/300x300/179267.jpg,5,27.3 ,27.6,23.3 ,70 ,1432 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24598/jet-swirl-pizza-appetizers/
Smoked Salmon Spread,219,https://images.media-allrecipes.com/userphotos/300x300/247822.jpg,9,19 ,1.5,10.7 ,63 ,453 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15361/smoked-salmon-spread/
"Eggplant -- Easy, Good and Tasty",117,https://images.media-allrecipes.com/userphotos/300x300/2834.jpg,8,5.9 ,12.3,3.9 ,25 ,268 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19693/eggplant-easy-good-and-tasty/
Smoky Chipotle Hummus,90,https://images.media-allrecipes.com/userphotos/300x300/619335.jpg,20,3.7 ,11.9,2.9 ,0 ,235 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/101341/smoky-chipotle-hummus/
Stuffed Mushrooms with Spinach,163,https://images.media-allrecipes.com/userphotos/300x300/238546.jpg,12,15.7 ,2.5,4 ,38 ,199 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25498/stuffed-mushrooms-with-spinach/
Vegetarian Sweet and Sour Meatballs,803,https://images.media-allrecipes.com/userphotos/300x300/103838.jpg,5,44.9 ,82.3,24.8 ,181 ,2264 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/57124/vegetarian-sweet-and-sour-meatballs/
Fig and Olive Tapenade,327,https://images.media-allrecipes.com/userphotos/300x300/383313.jpg,6,24 ,26.4,5.2 ,41 ,361 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/50843/fig-and-olive-tapenade/
Hot Spinach and Artichoke Dip,70,https://images.media-allrecipes.com/userphotos/300x300/39965.jpg,48,6.4 ,1.7,2.2 ,9 ,128 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24915/hot-spinach-and-artichoke-dip/
Baked Zucchini Fries,135,https://images.media-allrecipes.com/userphotos/300x300/2520742.jpg,4,5 ,15,8.6 ,97 ,225 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/236302/baked-zucchini-fries/
Bacon-Balsamic Deviled Eggs,79,https://images.media-allrecipes.com/userphotos/300x300/356397.jpg,24,6.7 ,0.9,3.8 ,96 ,151 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/208089/bacon-balsamic-deviled-eggs/
Antojitos Minis,109,https://images.media-allrecipes.com/userphotos/300x300/2435727.jpg,24,5 ,11.4,4.6 ,11 ,209 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22304/antojitos-minis/
White Chocolate Gorp,142,https://images.media-allrecipes.com/userphotos/300x300/52895.jpg,64,8.5 ,15,2.2 ,3 ,97 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/9470/white-chocolate-gorp/
Wheat Crackers,64,https://images.media-allrecipes.com/userphotos/300x300/356792.jpg,32,2.5 ,9.2,1.5 ,0 ,55 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/37618/wheat-crackers/
Cowboy Caviar,233,https://images.media-allrecipes.com/userphotos/300x300/1119640.jpg,8,9.1 ,32.3,7.9 ,0 ,1255 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/103674/cowboy-caviar/
The Best Stuffed Mushrooms,162,https://images.media-allrecipes.com/userphotos/300x300/228922.jpg,6,14 ,3.5,6.7 ,33 ,232 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/169625/the-best-stuffed-mushrooms/
Garlic and Parmesan Chicken Wings,276,https://images.media-allrecipes.com/userphotos/300x300/973029.jpg,8,19.3 ,5.4,19.8 ,56 ,246 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/231008/garlic-and-parmesan-chicken-wings/
Avocado Mango Salsa,63,https://images.media-allrecipes.com/userphotos/300x300/20303.jpg,8,3.8 ,8.3,0.8 ,0 ,3 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/89595/avocado-mango-salsa/
Cranberry Dip,103,https://images.media-allrecipes.com/userphotos/300x300/299240.jpg,32,5.2 ,14.7,1 ,8 ,25 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/96279/cranberry-dip/
Remoulade Sauce a la New Orleans,359,https://images.media-allrecipes.com/userphotos/300x300/522425.jpg,6,37.3 ,6.7,1 ,14 ,943 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/83665/remoulade-sauce-a-la-new-orleans/
Sweet Spicy Wings,356,https://images.media-allrecipes.com/userphotos/300x300/45847.jpg,12,22.7 ,23.9,15.6 ,78 ,896 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/8768/sweet-spicy-wings/
Artichoke Stuffed Mushrooms,156,https://images.media-allrecipes.com/userphotos/300x300/550260.jpg,12,12.7 ,6.3,6.3 ,30 ,342 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/175989/artichoke-stuffed-mushrooms/
Jalapeno Snacks,261,https://images.media-allrecipes.com/userphotos/300x300/258899.jpg,10,22.3 ,4.5,10.5 ,55 ,708 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/169512/jalapeno-snacks/
Buffalo Cauliflower,218,https://images.media-allrecipes.com/userphotos/300x300/1920541.jpg,4,7.1 ,36.2,8.5 ,15 ,907 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/239616/buffalo-cauliflower/
Best Formula Three-Cheese Fondue,113,https://images.media-allrecipes.com/userphotos/300x300/4881109.jpg,24,8.3 ,0.7,6.9 ,27 ,120 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/45657/best-formula-three-cheese-fondue/
Baked Brie in Puff Pastry,281,https://images.media-allrecipes.com/userphotos/300x300/534862.jpg,8,21 ,14.5,8.7 ,28 ,255 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15192/baked-brie-in-puff-pastry/
Best Ever Party Appetizer,201,https://images.media-allrecipes.com/userphotos/300x300/1025463.jpg,10,17.3 ,4.7,8.1 ,27 ,329 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20509/best-ever-party-appetizer/
Blue Cheese Dip II,104,https://images.media-allrecipes.com/userphotos/300x300/282676.jpg,24,10.7 ,1.1,1.5 ,11 ,124 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24901/blue-cheese-dip-ii/
Marinated Mushrooms II,54,https://images.media-allrecipes.com/userphotos/300x300/3578.jpg,16,4.6 ,2.8,1 ,0 ,148 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24595/marinated-mushrooms-ii/
Alabama Fire Crackers,181,https://images.media-allrecipes.com/userphotos/300x300/4459276.jpg,30,13.9 ,12.5,1.2 ,0 ,320 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/214184/alabama-fire-crackers/
Hoagie Dip,552,https://images.media-allrecipes.com/userphotos/300x300/69504.jpg,16,41.4 ,28.5,18.1 ,59 ,1289 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23938/hoagie-dip/
Maryland Crab Cakes III,409,https://images.media-allrecipes.com/userphotos/300x300/33682.jpg,6,31.6 ,12.2,18.6 ,71 ,820 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21475/maryland-crab-cakes-iii/
Crispy Honey Sriracha Chicken Wings,315,https://images.media-allrecipes.com/userphotos/300x300/2361845.jpg,4,14.3 ,28.7,19.3 ,59 ,3152 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/241001/crispy-honey-sriracha-chicken-wings/
Avocado and Tuna Tapas,294,https://images.media-allrecipes.com/userphotos/300x300/1010868.jpg,4,18.2 ,11,23.9 ,27 ,154 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/139620/avocado-and-tuna-tapas/
Thai Chicken Balls,313,https://images.media-allrecipes.com/userphotos/300x300/255920.jpg,8,15.5 ,14.8,27.6 ,69 ,247 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23764/thai-chicken-balls/
Beef Samosas,258,https://images.media-allrecipes.com/userphotos/300x300/609167.jpg,18,14.8 ,23.8,7.6 ,21 ,346 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24871/beef-samosas/
Herman Reunion Cheese Ball,413,https://images.media-allrecipes.com/userphotos/300x300/1082956.jpg,12,38.6 ,3.7,14.5 ,101 ,416 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16600/herman-reunion-cheese-ball/
Sweet and Sour Meatballs I,562,https://images.media-allrecipes.com/userphotos/300x300/3073006.jpg,7,35.2 ,37.5,24 ,137 ,99 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14658/sweet-and-sour-meatballs-i/
Game Day Bites,176,https://images.media-allrecipes.com/userphotos/300x300/2020742.jpg,24,8.8 ,15.4,8.7 ,25 ,327 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25511/game-day-bites/
Cheesy Buffalo Chicken Dip,450,https://images.media-allrecipes.com/userphotos/300x300/5215622.jpg,8,38.4 ,5.1,18.5 ,76 ,887 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/157725/cheesy-buffalo-chicken-dip/
Daddy's Popcorn,285,https://images.media-allrecipes.com/userphotos/300x300/911939.jpg,4,22.8 ,18.7,3.2 ,0 ,209 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/73032/daddys-popcorn/
Jen's Fresh and Spicy Salsa,9,https://images.media-allrecipes.com/userphotos/300x300/1044102.jpg,16,0.1 ,2,0.5 ,0 ,159 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/74591/jens-fresh-and-spicy-salsa/
Spinach Stuffed Portobello Mushrooms,168,https://images.media-allrecipes.com/userphotos/300x300/6346475.jpg,4,10.7 ,7.5,11.3 ,70 ,591 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/220810/spinach-stuffed-portobello-mushrooms/
Marinated Cheese,169,https://images.media-allrecipes.com/userphotos/300x300/60422.jpg,16,16.3 ,1.4,4.7 ,30 ,203 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/56776/marinated-cheese/
Cocktail Meatballs IV,601,https://images.media-allrecipes.com/userphotos/300x300/132813.jpg,6,40.4 ,33.4,25.7 ,129 ,313 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16655/cocktail-meatballs-iv/
Buffalo Chicken Wings III,406,https://images.media-allrecipes.com/userphotos/300x300/4531231.jpg,4,35.7 ,4.9,17.9 ,112 ,1224 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24086/buffalo-chicken-wings-iii/
Simple Roasted Chickpea Snack,153,https://images.media-allrecipes.com/userphotos/300x300/631489.jpg,4,8 ,17.5,3.9 ,0 ,296 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/197683/simple-roasted-chickpea-snack/
Wonton Wrappers,14,https://images.media-allrecipes.com/userphotos/300x300/1092172.jpg,72,0.1 ,2.7,0.4 ,3 ,17 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20881/wonton-wrappers/
Won Ton Wrapper Appetizers,91,https://images.media-allrecipes.com/userphotos/300x300/454.jpg,60,6.7 ,4.7,2.7 ,11 ,166 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20883/won-ton-wrapper-appetizers/
Authentic Chinese Egg Rolls (from a Chinese person),169,https://images.media-allrecipes.com/userphotos/300x300/6406632.jpg,20,7.4 ,16,9.9 ,46 ,315 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/61913/authentic-chinese-egg-rolls-from-a-chinese-person/
Mexican Pizza I,770,https://images.media-allrecipes.com/userphotos/300x300/377465.jpg,4,48.1 ,42.3,42.1 ,150 ,1542 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17368/mexican-pizza-i/
Crispy Edamame,141,https://images.media-allrecipes.com/userphotos/300x300/58132.jpg,5,8.5 ,7.7,10.3 ,4 ,71 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/150772/crispy-edamame/
Parmesan Broccoli Balls,71,https://images.media-allrecipes.com/userphotos/300x300/392087.jpg,36,5.1 ,4.2,2.4 ,32 ,186 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/41116/parmesan-broccoli-balls/
Caramelized Spicy Pumpkin Seeds,117,https://images.media-allrecipes.com/userphotos/300x300/5841384.jpg,8,4.8 ,16.6,3 ,0 ,585 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/152418/caramelized-spicy-pumpkin-seeds/
Classic Texas Caviar,40,https://images.media-allrecipes.com/userphotos/300x300/1922433.jpg,40,2.2 ,4,1.2 ,0 ,112 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/96563/classic-texas-caviar/
Fantastic Mexican Dip,99,https://images.media-allrecipes.com/userphotos/300x300/3617547.jpg,64,8.1 ,1.5,4.8 ,25 ,151 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21753/fantastic-mexican-dip/
Tortilla Rollups IV,174,https://images.media-allrecipes.com/userphotos/300x300/3094483.jpg,25,9.5 ,16.7,5.2 ,21 ,397 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24229/tortilla-rollups-iv/
Deep Fried Dill Pickles,174,https://images.media-allrecipes.com/userphotos/300x300/505348.jpg,12,3.6 ,30.3,5.5 ,32 ,1222 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17192/deep-fried-dill-pickles/
French Onion Dip From Scratch,151,https://images.media-allrecipes.com/userphotos/300x300/1089983.jpg,16,15.6 ,2.6,0.8 ,12 ,176 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/142429/french-onion-dip-from-scratch/
Caprese on a Stick,215,https://images.media-allrecipes.com/userphotos/300x300/383830.jpg,8,17.4 ,3,10.5 ,45 ,85 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/213849/caprese-on-a-stick/
Stuffed Jalapeno Firecrackers,179,https://images.media-allrecipes.com/userphotos/300x300/803231.jpg,8,15.6 ,2.2,7.5 ,46 ,420 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/216909/stuffed-jalapeno-firecrackers/
Classic Savory Deviled Eggs,139,https://images.media-allrecipes.com/userphotos/300x300/3275386.jpg,6,12.3 ,1,6.4 ,189 ,192 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/228129/classic-savory-deviled-eggs/
Chicken and Sun-Dried Tomato Bruschetta,389,https://images.media-allrecipes.com/userphotos/300x300/96717.jpg,8,22.2 ,34.3,13.5 ,26 ,1124 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/73648/chicken-and-sun-dried-tomato-bruschetta/
Fabulous Football Dip,173,https://images.media-allrecipes.com/userphotos/300x300/577101.jpg,16,15.9 ,1.6,6.1 ,47 ,406 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15549/fabulous-football-dip/
Spicy Pretzels,161,https://images.media-allrecipes.com/userphotos/300x300/1082259.jpg,10,16.5 ,3.4,0.3 ,0 ,553 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24248/spicy-pretzels/
Salsa,53,https://images.media-allrecipes.com/userphotos/300x300/111987.jpg,4,0.5 ,11.7,2.3 ,0 ,13 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16542/salsa/
Spicy Bacon-Wrapped Water Chestnuts II,116,https://images.media-allrecipes.com/userphotos/300x300/752987.jpg,16,7.5 ,8.5,3.8 ,12 ,245 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17339/spicy-bacon-wrapped-water-chestnuts-ii/
Fried Dill Pickles,173,https://images.media-allrecipes.com/userphotos/300x300/4414583.jpg,16,6.5 ,24.6,4.1 ,13 ,849 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/73458/fried-dill-pickles/
Easy Snack Wraps,65,https://images.media-allrecipes.com/userphotos/300x300/1042563.jpg,60,2.5 ,8.5,2.1 ,5 ,140 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20735/easy-snack-wraps/
Basic  Fondue,49,https://images.media-allrecipes.com/userphotos/300x300/659413.jpg,64,3.7 ,0.9,3 ,12 ,72 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24624/basic-fondue/
Creamy Veggie Fondue,83,https://images.media-allrecipes.com/userphotos/300x300/357738.jpg,32,7 ,0.7,4.2 ,21 ,104 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24631/creamy-veggie-fondue/
Baked Cheese Olives,110,https://images.media-allrecipes.com/userphotos/300x300/156102.jpg,9,8 ,5.7,4 ,20 ,317 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15078/baked-cheese-olives/
White Chocolate Snack Mix,240,https://images.media-allrecipes.com/userphotos/300x300/538978.jpg,40,12.7 ,28.3,4.5 ,5 ,262 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/9489/white-chocolate-snack-mix/
Baked Spinach Artichoke Dip,30,https://images.media-allrecipes.com/userphotos/300x300/230018.jpg,32,1.5 ,1.9,2.4 ,5 ,139 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14799/baked-spinach-artichoke-dip/
Fruit Dip VI,152,https://images.media-allrecipes.com/userphotos/300x300/212033.jpg,16,9.8 ,14.3,2.1 ,31 ,87 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22911/fruit-dip-vi/
Grilled Pizza Wraps,543,https://images.media-allrecipes.com/userphotos/300x300/218258.jpg,8,31.9 ,40.6,22.5 ,69 ,1174 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/54615/grilled-pizza-wraps/
Kalamata Olive Tapenade,81,https://images.media-allrecipes.com/userphotos/300x300/598399.jpg,8,7.9 ,2.5,0.5 ,0 ,359 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/165309/kalamata-olive-tapenade/
Slow Cooker Cocktail Smokies,377,https://images.media-allrecipes.com/userphotos/300x300/5950673.jpg,10,24.6 ,28.3,11.1 ,56 ,1278 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/213073/slow-cooker-cocktail-smokies/
Black Bean Salsa,42,https://images.media-allrecipes.com/userphotos/300x300/8185.jpg,40,0.2 ,8.3,2.5 ,0 ,207 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24182/black-bean-salsa/
Roasted Tomato Salsa I,16,https://images.media-allrecipes.com/userphotos/300x300/433795.jpg,24,0.9 ,1.8,0.4 ,0 ,26 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24626/roasted-tomato-salsa-i/
Cranberry Salsa,144,https://images.media-allrecipes.com/userphotos/300x300/525441.jpg,6,0.3 ,37.4,1.3 ,0 ,38 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/141135/cranberry-salsa/
Jimmbo's Garlic Knots,65,https://images.media-allrecipes.com/userphotos/300x300/391914.jpg,24,3.7 ,6.4,1.6 ,< 1 ,191 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23642/jimmbos-garlic-knots/
Best-Ever Texas Caviar,262,https://images.media-allrecipes.com/userphotos/300x300/196642.jpg,10,12 ,35.5,6.3 ,0 ,564 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/152270/best-ever-texas-caviar/
Maryland Crab Cakes I,166,https://images.media-allrecipes.com/userphotos/300x300/330671.jpg,6,7.9 ,5.3,17.4 ,114 ,896 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17771/maryland-crab-cakes-i/
Mini Meatball Subs,351,https://images.media-allrecipes.com/userphotos/300x300/1125249.jpg,8,16.4 ,32.2,18 ,68 ,821 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/201313/mini-meatball-subs/
Crab Rangoon,261,https://images.media-allrecipes.com/userphotos/300x300/2599326.jpg,8,10.8 ,29.2,11.2 ,54 ,461 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/200657/crab-rangoon/
Jalapeno Popper Cups,81,https://images.media-allrecipes.com/userphotos/300x300/377257.jpg,12,6.2 ,3,3.2 ,17 ,153 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/213558/jalapeno-popper-cups/
Dried Beef Cheese Ball,96,https://images.media-allrecipes.com/userphotos/300x300/4627587.jpg,10,8.1 ,1.4,4.4 ,32 ,429 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14645/dried-beef-cheese-ball/
Over the Top Nachos,829,https://images.media-allrecipes.com/userphotos/300x300/1119771.jpg,6,52.1 ,58.4,33.6 ,119 ,846 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14874/over-the-top-nachos/
Sushi Roll,152,https://images.media-allrecipes.com/userphotos/300x300/5360403.jpg,8,3.9 ,25.8,3.9 ,6 ,703 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24228/sushi-roll/
Blue Bacon Stuffed Mushrooms,348,https://images.media-allrecipes.com/userphotos/300x300/4400604.jpg,3,26.6 ,13.4,14.7 ,73 ,814 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/137428/blue-bacon-stuffed-mushrooms/
Fruit Salsa with Cinnamon Tortilla Chips,70,https://images.media-allrecipes.com/userphotos/300x300/335942.jpg,32,1.8 ,12.5,1.3 ,0 ,86 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26796/fruit-salsa-with-cinnamon-tortilla-chips/
Mexican White Cheese Dip Sauce,233,https://images.media-allrecipes.com/userphotos/300x300/2565173.jpg,8,19.9 ,5.3,13 ,55 ,1207 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/84980/mexican-white-cheese-dipsauce/
Yummy Cheese Ball,235,https://images.media-allrecipes.com/userphotos/300x300/755555.jpg,20,23.6 ,1.6,4.9 ,41 ,267 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17193/yummy-cheese-ball/
Jalapeno Popper Mushrooms,151,https://images.media-allrecipes.com/userphotos/300x300/1822072.jpg,4,13.4 ,2.5,6.1 ,35 ,288 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/218787/jalapeno-popper-mushrooms/
Jalapeno Popper Wontons,451,https://images.media-allrecipes.com/userphotos/300x300/389504.jpg,5,34.1 ,31.1,6.7 ,52 ,960 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/166991/jalapeno-popper-wontons/
Marinated Veggies,159,https://images.media-allrecipes.com/userphotos/300x300/1295017.jpg,8,13.9 ,7.9,3.2 ,0 ,909 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14581/marinated-veggies/
Gyoza,184,https://images.media-allrecipes.com/userphotos/300x300/313346.jpg,10,8.5 ,18.5,7.9 ,37 ,546 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/27190/gyoza/
Homestyle Potato Chips,179,https://images.media-allrecipes.com/userphotos/300x300/164745.jpg,8,11.1 ,18.6,2.2 ,0 ,2623 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/73135/homestyle-potato-chips/
Cod Fish Cakes,351,https://images.media-allrecipes.com/userphotos/300x300/423178.jpg,4,12.5 ,38.8,21 ,98 ,131 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17777/cod-fish-cakes/
Best Hot Crab Dip,284,https://images.media-allrecipes.com/userphotos/300x300/1097189.jpg,18,21.6 ,12.4,11 ,51 ,641 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20368/best-hot-crab-dip/
Tuscan Cream Cheese Spread,365,https://images.media-allrecipes.com/userphotos/300x300/1067588.jpg,6,27.4 ,20.8,11.4 ,82 ,1092 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16027/tuscan-cream-cheese-spread/
Bacon Wrapped Water Chestnuts III,403,https://images.media-allrecipes.com/userphotos/300x300/1559227.jpg,9,22.9 ,44.6,7.2 ,34 ,1062 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14968/bacon-wrapped-water-chestnuts-iii/
"Tomato, Corn and Avocado Salsa",68,https://images.media-allrecipes.com/userphotos/300x300/1097144.jpg,16,4.5 ,7.1,1.1 ,0 ,266 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/139722/tomato-corn-and-avocado-salsa/
Movie Star Popcorn,187,https://images.media-allrecipes.com/userphotos/300x300/1106512.jpg,5,13.7 ,14.8,2.5 ,12 ,266 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/150711/movie-star-popcorn/
Blue Cheese and Pear Tartlets,60,https://images.media-allrecipes.com/userphotos/300x300/5939579.jpg,15,3.6 ,4.5,2.2 ,7 ,116 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/66969/blue-cheese-and-pear-tartlets/
Sarah's Salsa,9,https://images.media-allrecipes.com/userphotos/300x300/655449.jpg,32,0 ,1.7,0.4 ,0 ,95 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26942/sarahs-salsa/
"Dill, Feta and Garlic Cream Cheese Spread",91,https://images.media-allrecipes.com/userphotos/300x300/903409.jpg,24,8.5 ,1,2.8 ,29 ,161 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/42944/dill-feta-and-garlic-cream-cheese-spread/
Blue Cheese Chicken Wing Dip,263,https://images.media-allrecipes.com/userphotos/300x300/361580.jpg,16,25.4 ,2.6,4.5 ,44 ,895 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/78521/blue-cheese-chicken-wing-dip/
Balsamic Mushrooms,94,https://images.media-allrecipes.com/userphotos/300x300/1029640.jpg,8,8.3 ,3.3,1.9 ,0 ,5 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14037/balsamic-mushrooms/
Texas Caviar with Avocado,66,https://images.media-allrecipes.com/userphotos/300x300/54628.jpg,32,4.1 ,6.2,1.7 ,0 ,204 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/45611/texas-caviar-with-avocado/
Corn Dip II,345,https://images.media-allrecipes.com/userphotos/300x300/9408.jpg,15,28.5 ,14.6,10.4 ,51 ,505 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/73684/corn-dip-ii/
Cool Cucumber Salsa,151,https://images.media-allrecipes.com/userphotos/300x300/221556.jpg,12,6.6 ,21.6,2.8 ,0 ,217 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/75637/cool-cucumber-salsa/
