Name,Calories,Image URL,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Bacon Wrapped Smokies,163,https://images.media-allrecipes.com/userphotos/300x300/581356.jpg,16,10.5 ,10.7,6.5 ,26 ,458 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/69919/bacon-wrapped-smokies/
Grilled Marinated Shrimp,447,https://images.media-allrecipes.com/userphotos/300x300/667049.jpg,6,37.5 ,3.7,25.3 ,230 ,800 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19484/grilled-marinated-shrimp/
Southwestern Egg Rolls,419,https://images.media-allrecipes.com/userphotos/300x300/1869973.jpg,5,31.2 ,21.8,13.6 ,29 ,575 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25502/southwestern-egg-rolls/
Spicy Bean Salsa,155,https://images.media-allrecipes.com/userphotos/300x300/792466.jpg,12,6.4 ,20.4,5 ,0 ,949 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14861/spicy-bean-salsa/
Kettle Corn,209,https://images.media-allrecipes.com/userphotos/300x300/699723.jpg,5,11.9 ,24.8,2.4 ,0 ,< 1 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20808/kettle-corn/
Japanese Chicken Wings,675,https://images.media-allrecipes.com/userphotos/300x300/4154813.jpg,6,44.3 ,51.4,18.9 ,158 ,1112 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23312/japanese-chicken-wings/
Bacon Cheddar Deviled Eggs,187,https://images.media-allrecipes.com/userphotos/300x300/3042618.jpg,12,17 ,0.8,7.9 ,197 ,223 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/69084/bacon-cheddar-deviled-eggs/
Baked Buffalo Wings,125,https://images.media-allrecipes.com/userphotos/300x300/1132784.jpg,20,9.2 ,3.8,6.8 ,32 ,258 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/166638/baked-buffalo-wings/
Grilled Bacon Jalapeno Wraps,391,https://images.media-allrecipes.com/userphotos/300x300/805457.jpg,6,38.3 ,2.2,9.5 ,79 ,577 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/87076/grilled-bacon-jalapeno-wraps/
Chocolate Chip Cheese Ball,102,https://images.media-allrecipes.com/userphotos/300x300/254954.jpg,32,8.4 ,6.9,1 ,15 ,42 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26740/chocolate-chip-cheese-ball/
Spinach Brownies,92,https://images.media-allrecipes.com/userphotos/300x300/3239956.jpg,24,6 ,5.6,4.1 ,32 ,216 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26972/spinach-brownies/
Florentine Artichoke Dip,194,https://images.media-allrecipes.com/userphotos/300x300/4538538.jpg,16,17.1 ,4.9,6.1 ,39 ,379 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14930/florentine-artichoke-dip/
Spiced Pumpkin Seeds,90,https://images.media-allrecipes.com/userphotos/300x300/4569239.jpg,8,5.1 ,8.9,3 ,0 ,214 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13839/spiced-pumpkin-seeds/
D's Famous Salsa,16,https://images.media-allrecipes.com/userphotos/300x300/866636.jpg,16,0.1 ,3.9,0.6 ,0 ,283 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16259/ds-famous-salsa/
Best Ever Jalapeno Poppers,149,https://images.media-allrecipes.com/userphotos/300x300/963639.jpg,32,12 ,6.8,3.9 ,20 ,110 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20858/best-ever-jalapeno-poppers/
Fruit Dip II,118,https://images.media-allrecipes.com/userphotos/300x300/819035.jpg,12,6.6 ,13.4,1.5 ,21 ,68 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16570/fruit-dip-ii/
Real Hummus,54,https://images.media-allrecipes.com/userphotos/300x300/4524208.jpg,20,2.5 ,6.8,1.6 ,0 ,199 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26921/real-hummus/
BLT Dip,181,https://images.media-allrecipes.com/userphotos/300x300/665563.jpg,16,17.8 ,1.5,4.1 ,22 ,301 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14944/blt-dip/
"Avocado, Tomato and Mango Salsa",158,https://images.media-allrecipes.com/userphotos/300x300/1042823.jpg,6,12 ,13.8,1.9 ,0 ,397 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/74694/avocado-tomato-and-mango-salsa/
Pumpkin Fluff Dip ,65,https://images.media-allrecipes.com/userphotos/300x300/25114.jpg,32,3.6 ,8.4,0.3 ,0 ,99 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24740/pumpkin-fluff-dip/
Bacon and Tomato Cups,216,https://images.media-allrecipes.com/userphotos/300x300/2309946.jpg,15,15.1 ,15,5.3 ,18 ,430 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14967/bacon-and-tomato-cups/
Chicken Puffs,399,https://images.media-allrecipes.com/userphotos/300x300/2050417.jpg,12,25.9 ,28.4,10.7 ,42 ,645 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26738/chicken-puffs/
Amy's Cilantro Cream Sauce,230,https://images.media-allrecipes.com/userphotos/300x300/395077.jpg,4,20.5 ,7.1,5 ,63 ,868 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20446/amys-cilantro-cream-sauce/
Toasted Garlic Bread,213,https://images.media-allrecipes.com/userphotos/300x300/272203.jpg,10,10.1 ,23.4,6.9 ,22 ,376 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21060/toasted-garlic-bread/
Ken's Perfect Hard Boiled Egg (And I Mean Perfect),72,https://images.media-allrecipes.com/userphotos/300x300/377646.jpg,8,5 ,0.4,6.3 ,186 ,947 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/213737/kens-perfect-hard-boiled-egg-and-i-mean-perfect/
Party Pinwheels,229,https://images.media-allrecipes.com/userphotos/300x300/19872.jpg,15,14.5 ,18.6,5.9 ,37 ,477 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14961/party-pinwheels/
Balsamic Bruschetta,194,https://images.media-allrecipes.com/userphotos/300x300/866248.jpg,8,2.5 ,35.2,8.3 ,2 ,471 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/54165/balsamic-bruschetta/
My Crab Cakes,318,https://images.media-allrecipes.com/userphotos/300x300/2432529.jpg,10,22.1 ,22,10.5 ,73 ,407 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19490/my-crab-cakes/
Potato Chips,80,https://images.media-allrecipes.com/userphotos/300x300/969840.jpg,4,3.5 ,11.6,1.2 ,0 ,295 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/66646/potato-chips/
Sausage Stuffed Jalapenos,362,https://images.media-allrecipes.com/userphotos/300x300/3289946.jpg,12,34.3 ,4.3,9.2 ,58 ,601 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/83500/sausage-stuffed-jalapenos/
Creamy Dill Cucumber Toasties,247,https://images.media-allrecipes.com/userphotos/300x300/29940.jpg,12,14.5 ,23.7,6.1 ,24 ,619 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14811/creamy-dill-cucumber-toasties/
Easy Guacamole,45,https://images.media-allrecipes.com/userphotos/300x300/1488197.jpg,16,3.7 ,3.4,0.7 ,0 ,2 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14064/easy-guacamole/
Chicken and Broccoli Braid,580,https://images.media-allrecipes.com/userphotos/300x300/584518.jpg,6,36.3 ,36.3,26.7 ,99 ,756 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15028/chicken-and-broccoli-braid/
Boneless Buffalo Wings,710,https://images.media-allrecipes.com/userphotos/300x300/1052464.jpg,3,46.9 ,43.7,28 ,136 ,2334 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/151266/boneless-buffalo-wings/
Cream Cheese Penguins,57,https://images.media-allrecipes.com/userphotos/300x300/580469.jpg,18,5.5 ,1.2,1 ,14 ,104 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19687/cream-cheese-penguins/
Chewy Granola Bars,299,https://images.media-allrecipes.com/userphotos/300x300/3546347.jpg,18,14 ,42.9,4.3 ,18 ,123 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/11382/chewy-granola-bars/
Lana's Sweet and Sour Meatballs,427,https://images.media-allrecipes.com/userphotos/300x300/666917.jpg,8,16.5 ,42.1,27.4 ,124 ,479 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26616/lanas-sweet-and-sour-meatballs/
Easy Granola Bars,179,https://images.media-allrecipes.com/userphotos/300x300/466805.jpg,24,8.1 ,24.8,3.9 ,8 ,38 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25794/easy-granola-bars/
Easy Cheese Ball II,557,https://images.media-allrecipes.com/userphotos/300x300/3412205.jpg,7,52.5 ,7.5,17 ,113 ,720 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14927/easy-cheese-ball-ii/
Grilled Shrimp Scampi,173,https://images.media-allrecipes.com/userphotos/300x300/3214.jpg,6,10 ,1.6,18.7 ,173 ,200 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/12771/grilled-shrimp-scampi/
Chicken Wing Dip,240,https://images.media-allrecipes.com/userphotos/300x300/349675.jpg,16,21.8 ,1.6,9.4 ,57 ,357 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/90544/chicken-wing-dip/
Hot Pizza Dip,115,https://images.media-allrecipes.com/userphotos/300x300/2640972.jpg,16,9.5 ,1.9,5.6 ,29 ,271 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14803/hot-pizza-dip/
Avocado Feta Salsa,66,https://images.media-allrecipes.com/userphotos/300x300/1073749.jpg,12,5.6 ,2.8,1.8 ,8 ,108 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/87678/avocado-feta-salsa/
Luscious Spinach Artichoke Dip,50,https://images.media-allrecipes.com/userphotos/300x300/1116968.jpg,24,4 ,2.4,1.5 ,7 ,141 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15141/luscious-spinach-artichoke-dip/
Quick Baked Zucchini Chips,92,https://images.media-allrecipes.com/userphotos/300x300/679473.jpg,4,1.7 ,13.8,6.1 ,2 ,340 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/89452/quick-baked-zucchini-chips/
Fried Mozzarella Cheese Sticks,400,https://images.media-allrecipes.com/userphotos/300x300/462522.jpg,8,22.5 ,29.5,19.4 ,83 ,805 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23596/fried-mozzarella-cheese-sticks/
Antipasto Squares,452,https://images.media-allrecipes.com/userphotos/300x300/1012003.jpg,10,29.1 ,25.3,20 ,104 ,1291 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/57808/antipasto-squares/
Roasted Pumpkin Seeds,83,https://images.media-allrecipes.com/userphotos/300x300/729337.jpg,6,4.5 ,8.6,3 ,4 ,12 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13768/roasted-pumpkin-seeds/
Outrageous Warm Chicken Nacho Dip,232,https://images.media-allrecipes.com/userphotos/300x300/2333962.jpg,12,13.6 ,8.7,18.6 ,60 ,790 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/157940/outrageous-warm-chicken-nacho-dip/
Mahogany Chicken Wings,773,https://images.media-allrecipes.com/userphotos/300x300/501441.jpg,5,43.6 ,43.1,51.9 ,210 ,1650 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25505/mahogany-chicken-wings/
