Name,Calories,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Cracked Sugar Cookies I,163,24,8.4 ,20.5,1.8 ,46 ,108 ,Desserts,https://www.allrecipes.com/recipe/9864/cracked-sugar-cookies-i/
Easy Batter Fruit Cobbler,384,4,12.6 ,64.9,4.1 ,34 ,371 ,Desserts,https://www.allrecipes.com/recipe/88354/easy-batter-fruit-cobbler/
Tiramisu II,387,12,30.5 ,22.7,6.6 ,216 ,60 ,Desserts,https://www.allrecipes.com/recipe/21412/tiramisu-ii/
Blonde Brownies I,477,6,23.2 ,65.4,5.6 ,58 ,358 ,Desserts,https://www.allrecipes.com/recipe/10177/blonde-brownies-i/
Delicious Raspberry Oatmeal Cookie Bars,292,9,11 ,47,2.7 ,27 ,144 ,Desserts,https://www.allrecipes.com/recipe/11314/delicious-raspberry-oatmeal-cookie-bars/
Tiramisu Layer Cake,465,12,28.9 ,46.3,4.4 ,78 ,309 ,Desserts,https://www.allrecipes.com/recipe/25639/tiramisu-layer-cake/
Easy Lemon Cookies,87,36,4 ,11.6,1.2 ,14 ,107 ,Desserts,https://www.allrecipes.com/recipe/10776/easy-lemon-cookies/
Blueberry Pie,366,8,16.6 ,52.6,3.3 ,4 ,318 ,Desserts,https://www.allrecipes.com/recipe/12196/blueberry-pie/
Pumpkin Chocolate Chip Cookies III,202,24,10.7 ,26.6,2.4 ,8 ,171 ,Desserts,https://www.allrecipes.com/recipe/10740/pumpkin-chocolate-chip-cookies-iii/
Judy's Strawberry Pretzel Salad,371,16,22.3 ,41.2,4.2 ,54 ,327 ,Desserts,https://www.allrecipes.com/recipe/16080/judys-strawberry-pretzel-salad/
Quick and Easy Brownies,229,20,12.2 ,28.8,3.1 ,62 ,150 ,Desserts,https://www.allrecipes.com/recipe/9599/quick-and-easy-brownies/
Chewy Coconut Cookies,75,36,3.5 ,10.5,0.7 ,12 ,62 ,Desserts,https://www.allrecipes.com/recipe/9589/chewy-coconut-cookies/
Joey's Peanut Butter Cookies,106,36,6.4 ,10.6,2.5 ,12 ,81 ,Desserts,https://www.allrecipes.com/recipe/11024/joeys-peanut-butter-cookies/
Mmm-Mmm Better Brownies,161,16,10.2 ,17.1,2.1 ,23 ,53 ,Desserts,https://www.allrecipes.com/recipe/10707/mmm-mmm-better-brownies/
Chewy Sugar Cookies,172,30,7.9 ,23.9,1.7 ,12 ,173 ,Desserts,https://www.allrecipes.com/recipe/22850/chewy-sugar-cookies/
Golden Rum Cake,562,12,29.9 ,59.2,5.6 ,83 ,476 ,Desserts,https://www.allrecipes.com/recipe/17456/golden-rum-cake/
Old Fashioned Coconut Cream Pie,423,8,23.5 ,46.1,6.8 ,80 ,276 ,Desserts,https://www.allrecipes.com/recipe/12481/old-fashioned-coconut-cream-pie/
Chewy Peanut Butter Chocolate Chip Cookies,246,24,11.6 ,33.5,4.3 ,26 ,163 ,Desserts,https://www.allrecipes.com/recipe/9996/chewy-peanut-butter-chocolate-chip-cookies/
Cranberry Pistachio Biscotti,92,36,4.3 ,11.7,2.1 ,10 ,55 ,Desserts,https://www.allrecipes.com/recipe/10638/cranberry-pistachio-biscotti/
Dark Chocolate Cake I,427,12,18.3 ,63.5,6.6 ,103 ,463 ,Desserts,https://www.allrecipes.com/recipe/7736/dark-chocolate-cake-i/
Pretzel Turtles®,82,20,2.2 ,14.1,1.7 ,< 1 ,263 ,Desserts,https://www.allrecipes.com/recipe/96749/pretzel-turtles/
David's Yellow Cake,360,12,18.8 ,44.2,4.3 ,178 ,278 ,Desserts,https://www.allrecipes.com/recipe/24972/davids-yellow-cake/
Chocolate Cavity Maker Cake,528,12,26.4 ,66,6.1 ,63 ,498 ,Desserts,https://www.allrecipes.com/recipe/8446/chocolate-cavity-maker-cake/
Fudge,407,16,22.5 ,46.2,6.3 ,16 ,52 ,Desserts,https://www.allrecipes.com/recipe/9368/fudge/
Best Carrot Cake Ever,457,16,20.2 ,66.3,5.9 ,46 ,315 ,Desserts,https://www.allrecipes.com/recipe/17393/best-carrot-cake-ever/
Tres Leches (Milk Cake),280,24,13.7 ,34.6,5.5 ,81 ,87 ,Desserts,https://www.allrecipes.com/recipe/7399/tres-leches-milk-cake/
Chocolate Eclair Dessert,401,12,13.7 ,65.6,4.2 ,5 ,481 ,Desserts,https://www.allrecipes.com/recipe/19009/chocolate-eclair-dessert/
My Amish Friend's Caramel Corn,238,28,16.3 ,21.9,3.4 ,0 ,388 ,Desserts,https://www.allrecipes.com/recipe/74950/my-amish-friends-caramel-corn/
Saltine Toffee Cookies,150,35,10.2 ,15,1.3 ,14 ,73 ,Desserts,https://www.allrecipes.com/recipe/11376/saltine-toffee-cookies/
Melt - In - Your - Mouth Shortbread,111,24,7.8 ,9.7,0.9 ,20 ,55 ,Desserts,https://www.allrecipes.com/recipe/10856/melt-in-your-mouth-shortbread/
Apple Squares,143,16,5.7 ,22.1,1.8 ,19 ,94 ,Desserts,https://www.allrecipes.com/recipe/15067/apple-squares/
Soft Christmas Cookies,97,48,4 ,13.8,1.3 ,8 ,81 ,Desserts,https://www.allrecipes.com/recipe/10110/soft-christmas-cookies/
Blueberry Buckle,319,10,10.8 ,52.4,4.3 ,32 ,259 ,Desserts,https://www.allrecipes.com/recipe/7985/blueberry-buckle/
Coconut Macaroons III,287,12,12.4 ,40.7,4.4 ,11 ,187 ,Desserts,https://www.allrecipes.com/recipe/25787/coconut-macaroons-iii/
Ruth's Grandma's Pie Crust,163,32,11.5 ,13.1,1.8 ,6 ,148 ,Desserts,https://www.allrecipes.com/recipe/15995/ruths-grandmas-pie-crust/
Easy Key Lime Pie I,324,8,13.6 ,45.5,6.7 ,145 ,217 ,Desserts,https://www.allrecipes.com/recipe/12698/easy-key-lime-pie-i/
Cream Puffs,190,20,13.3 ,15.2,2.9 ,77 ,231 ,Desserts,https://www.allrecipes.com/recipe/15869/cream-puffs/
German Apple Cake I,201,24,9.7 ,27.7,1.7 ,16 ,107 ,Desserts,https://www.allrecipes.com/recipe/7915/german-apple-cake-i/
Banana Cream Pie I,303,8,11.1 ,47.2,4.9 ,89 ,224 ,Desserts,https://www.allrecipes.com/recipe/12151/banana-cream-pie-i/
Eileen's Spicy Gingerbread Men,88,30,3.3 ,14,1 ,7 ,103 ,Desserts,https://www.allrecipes.com/recipe/56673/eileens-spicy-gingerbread-men/
Absolutely the Best Chocolate Chip Cookies,241,24,13.7 ,28.1,2.7 ,20 ,180 ,Desserts,https://www.allrecipes.com/recipe/17209/absolutely-the-best-chocolate-chip-cookies/
Cream Cheese Squares,213,24,14.2 ,18.4,2.8 ,21 ,246 ,Desserts,https://www.allrecipes.com/recipe/25832/cream-cheese-squares/
Cream Cheese Pound Cake III,525,14,27.7 ,63.9,6.9 ,150 ,218 ,Desserts,https://www.allrecipes.com/recipe/8384/cream-cheese-pound-cake-iii/
Red Velvet Cupcakes,276,30,13.1 ,37.8,3.2 ,57 ,174 ,Desserts,https://www.allrecipes.com/recipe/212429/red-velvet-cupcakes/
Chocolate Chip Cookie Dough + Cupcake = The BEST Cupcake.  Ever.,256,24,12.5 ,34,3.2 ,42 ,215 ,Desserts,https://www.allrecipes.com/recipe/190739/chocolate-chip-cookie-dough-cupcake-the-best-cupcake-ever/
Paul's Pumpkin Bars,279,24,15.2 ,34.1,2.6 ,45 ,282 ,Desserts,https://www.allrecipes.com/recipe/11646/pauls-pumpkin-bars/
Robbi's M&Ms® Cookies,82,72,3.9 ,10.8,0.8 ,6 ,55 ,Desserts,https://www.allrecipes.com/recipe/10785/robbis-mms-cookies/
Chocolate Cornstarch Pudding,274,4,9.6 ,42.5,6.4 ,29 ,184 ,Desserts,https://www.allrecipes.com/recipe/44699/chocolate-cornstarch-pudding/
Russian Tea Cakes I,102,36,7.3 ,8.2,1.3 ,14 ,37 ,Desserts,https://www.allrecipes.com/recipe/10192/russian-tea-cakes-i/
Anna's Chocolate Chip Cookies,120,48,6.2 ,16,1.3 ,18 ,107 ,Desserts,https://www.allrecipes.com/recipe/10909/annas-chocolate-chip-cookies/
Chocolate Cupcakes,158,16,3.9 ,29.8,3.2 ,30 ,114 ,Desserts,https://www.allrecipes.com/recipe/17377/chocolate-cupcakes/
White Chocolate and Cranberry Cookies,147,24,6.1 ,21.9,1.5 ,19 ,64 ,Desserts,https://www.allrecipes.com/recipe/10917/white-chocolate-and-cranberry-cookies/
Granny Kat's Pumpkin Roll,316,10,14.1 ,43.7,4.9 ,93 ,306 ,Desserts,https://www.allrecipes.com/recipe/16049/granny-kats-pumpkin-roll/
Triple Berry Crisp,295,18,16.3 ,35.6,3.2 ,41 ,113 ,Desserts,https://www.allrecipes.com/recipe/52547/triple-berry-crisp/
Bake Sale Lemon Bars,107,36,4.3 ,16.3,1.2 ,26 ,33 ,Desserts,https://www.allrecipes.com/recipe/10756/bake-sale-lemon-bars/
Crustless Cranberry Pie,335,8,17.7 ,41.4,4.5 ,77 ,173 ,Desserts,https://www.allrecipes.com/recipe/12398/crustless-cranberry-pie/
Oatmeal Peanut Butter Cookies III,397,12,23.5 ,42.2,7.8 ,48 ,343 ,Desserts,https://www.allrecipes.com/recipe/10759/oatmeal-peanut-butter-cookies-iii/
No Bake Cookies V,116,36,4.9 ,17,2 ,< 1 ,58 ,Desserts,https://www.allrecipes.com/recipe/16617/no-bake-cookies-v/
Better Than Sex Cake II,193,24,7.6 ,29.3,2.7 ,10 ,211 ,Desserts,https://www.allrecipes.com/recipe/7515/better-than-sex-cake-ii/
Favorite Old Fashioned Gingerbread,375,9,11.2 ,65.3,4.4 ,48 ,435 ,Desserts,https://www.allrecipes.com/recipe/7322/favorite-old-fashioned-gingerbread/
Healthy Banana Cookies,56,36,2.4 ,8.4,0.8 ,0 ,< 1 ,Desserts,https://www.allrecipes.com/recipe/9615/healthy-banana-cookies/
Mom's Chocolate Chip Cookies,233,24,12.4 ,30.5,2.4 ,36 ,175 ,Desserts,https://www.allrecipes.com/recipe/10331/moms-chocolate-chip-cookies/
Three Ingredient Peanut Butter Cookies,394,6,22.5 ,41.8,11.8 ,31 ,209 ,Desserts,https://www.allrecipes.com/recipe/11352/three-ingredient-peanut-butter-cookies/
Best Toffee Ever - Super Easy,226,32,16.9 ,20,1.5 ,31 ,101 ,Desserts,https://www.allrecipes.com/recipe/73412/best-toffee-ever-super-easy/
Blueberry Sour Cream Coffee Cake,459,12,24 ,59.5,4.1 ,80 ,223 ,Desserts,https://www.allrecipes.com/recipe/70828/blueberry-sour-cream-coffee-cake/
Jam Filled Butter Cookies,82,36,4.1 ,10.5,0.8 ,22 ,29 ,Desserts,https://www.allrecipes.com/recipe/25100/jam-filled-butter-cookies/
Chocolate Covered Strawberries,115,24,7.3 ,12.7,1.4 ,6 ,31 ,Desserts,https://www.allrecipes.com/recipe/21712/chocolate-covered-strawberries/
Cranberry Orange Cookies,110,48,4.8 ,16.2,1.1 ,14 ,67 ,Desserts,https://www.allrecipes.com/recipe/40180/cranberry-orange-cookies/
Kentucky Butter Cake,508,12,22.6 ,71.1,6.2 ,117 ,467 ,Desserts,https://www.allrecipes.com/recipe/7479/kentucky-butter-cake/
Award Winning Peaches and Cream Pie,370,8,15.2 ,53.8,5.5 ,67 ,422 ,Desserts,https://www.allrecipes.com/recipe/15142/award-winning-peaches-and-cream-pie/
Irish Cream Bundt Cake,590,12,30.1 ,68.4,4.9 ,83 ,477 ,Desserts,https://www.allrecipes.com/recipe/17422/irish-cream-bundt-cake/
Libby's® Famous Pumpkin Pie,283,8,12.1 ,38.7,6.4 ,59 ,357 ,Desserts,https://www.allrecipes.com/recipe/22755/libbys-famous-pumpkin-pie/
Pumpkin Apple Streusel Muffins,249,18,8 ,42.6,2.8 ,23 ,182 ,Desserts,https://www.allrecipes.com/recipe/20237/pumpkin-apple-streusel-muffins/
Mom's Best Peanut Brittle,143,16,6 ,22.3,2.2 ,4 ,132 ,Desserts,https://www.allrecipes.com/recipe/15987/moms-best-peanut-brittle/
Strawberry Cake from Scratch,393,14,15.4 ,59.3,5.4 ,90 ,233 ,Desserts,https://www.allrecipes.com/recipe/60564/strawberry-cake-from-scratch/
Apple Crisp III,361,6,15.6 ,55.7,2 ,41 ,111 ,Desserts,https://www.allrecipes.com/recipe/23081/apple-crisp-iii/
Rhubarb Strawberry Crunch,253,18,10.8 ,38.1,2.3 ,27 ,78 ,Desserts,https://www.allrecipes.com/recipe/12177/rhubarb-strawberry-crunch/
Microwave Oven Peanut Brittle,165,16,7.5 ,23.3,3.2 ,2 ,91 ,Desserts,https://www.allrecipes.com/recipe/9362/microwave-oven-peanut-brittle/
Mini Cheesecakes I,95,48,4.8 ,11.8,1.3 ,18 ,54 ,Desserts,https://www.allrecipes.com/recipe/7307/mini-cheesecakes-i/
Strawberry Pie II,265,8,10.9 ,41.9,1.5 ,20 ,109 ,Desserts,https://www.allrecipes.com/recipe/15836/strawberry-pie-ii/
Apple Crisp IV,319,18,16.2 ,42.5,3 ,41 ,115 ,Desserts,https://www.allrecipes.com/recipe/12685/apple-crisp-iv/
Awesome Carrot Cake with Cream Cheese Frosting,331,24,15 ,47,4 ,48 ,260 ,Desserts,https://www.allrecipes.com/recipe/7272/awesome-carrot-cake-with-cream-cheese-frosting/
Fresh Rhubarb Pie,290,8,9.1 ,50.8,2.6 ,4 ,130 ,Desserts,https://www.allrecipes.com/recipe/12316/fresh-rhubarb-pie/
Best Peanut Butter Cookies Ever,132,36,7.5 ,13.9,3.9 ,10 ,140 ,Desserts,https://www.allrecipes.com/recipe/16754/best-peanut-butter-cookies-ever/
Brown Family's Favorite Pumpkin Pie,463,8,25.5 ,52.3,9.9 ,76 ,491 ,Desserts,https://www.allrecipes.com/recipe/12504/brown-familys-favorite-pumpkin-pie/
Apple Crumble Pie,358,8,16.4 ,52,2.5 ,23 ,210 ,Desserts,https://www.allrecipes.com/recipe/12298/apple-crumble-pie/
Lemon Square Bars,208,24,8.6 ,31.2,2.4 ,51 ,81 ,Desserts,https://www.allrecipes.com/recipe/25091/lemon-square-bars/
Molasses Sugar Cookies,93,72,4.5 ,12.7,0.9 ,5 ,105 ,Desserts,https://www.allrecipes.com/recipe/9330/molasses-sugar-cookies/
Eclair Cake,395,14,14.2 ,64.6,4.5 ,4 ,481 ,Desserts,https://www.allrecipes.com/recipe/7304/eclair-cake/
Vegan Brownies,284,16,14.3 ,39.2,2.4 ,0 ,169 ,Desserts,https://www.allrecipes.com/recipe/68436/vegan-brownies/
No Bake Cookies I,110,36,4.9 ,15.6,2 ,7 ,38 ,Desserts,https://www.allrecipes.com/recipe/9832/no-bake-cookies-i/
Deep Dish Brownies,340,9,17.8 ,44.2,4.3 ,103 ,290 ,Desserts,https://www.allrecipes.com/recipe/11063/deep-dish-brownies/
Bananas Foster II,534,4,23.8 ,73.2,4.6 ,60 ,146 ,Desserts,https://www.allrecipes.com/recipe/24705/bananas-foster-ii/
Easy Decadent Truffles,78,60,3.8 ,11.7,0.6 ,4 ,12 ,Desserts,https://www.allrecipes.com/recipe/41236/easy-decadent-truffles/
Creamy Peanut Butter Fudge,357,24,14.6 ,54.1,5.9 ,15 ,140 ,Desserts,https://www.allrecipes.com/recipe/22645/creamy-peanut-butter-fudge/
Honey Bun Cake I,251,24,12.3 ,33.6,2.4 ,36 ,161 ,Desserts,https://www.allrecipes.com/recipe/7547/honey-bun-cake-i/
Chocolate Lovers' Favorite Cake,604,12,40 ,57.7,8.8 ,144 ,608 ,Desserts,https://www.allrecipes.com/recipe/7612/chocolate-lovers-favorite-cake/
Spanish Flan ,349,8,9.7 ,56.7,9.5 ,100 ,139 ,Desserts,https://www.allrecipes.com/recipe/20979/spanish-flan/
Mom's Ginger Snaps,105,36,4.8 ,15,0.9 ,5 ,91 ,Desserts,https://www.allrecipes.com/recipe/10757/moms-ginger-snaps/
Biscotti,83,42,3.1 ,12.3,1.4 ,13 ,40 ,Desserts,https://www.allrecipes.com/recipe/17241/biscotti/
Cream Cheese Sugar Cookies,53,72,3.1 ,5.8,0.6 ,11 ,38 ,Desserts,https://www.allrecipes.com/recipe/11116/cream-cheese-sugar-cookies/
Oatmeal Raisin Cookies IV,178,36,8.1 ,24.9,2.5 ,29 ,115 ,Desserts,https://www.allrecipes.com/recipe/11620/oatmeal-raisin-cookies-iv/
Grandma's Gingersnap Cookies,121,30,5.4 ,17.5,1.1 ,6 ,126 ,Desserts,https://www.allrecipes.com/recipe/10365/grandmas-gingersnap-cookies/
No Bake Chocolate Oat Bars,142,32,9.9 ,12.6,2.3 ,15 ,61 ,Desserts,https://www.allrecipes.com/recipe/10602/no-bake-chocolate-oat-bars/
Blackberry Cobbler II,318,8,9.1 ,58.4,2.7 ,23 ,253 ,Desserts,https://www.allrecipes.com/recipe/65155/blackberry-cobbler-ii/
Chocolate Mint Cookies I,364,18,15.9 ,55.6,3.7 ,41 ,222 ,Desserts,https://www.allrecipes.com/recipe/10477/chocolate-mint-cookies-i/
Flourless Chocolate Cake I,341,16,24 ,27.5,4.6 ,102 ,66 ,Desserts,https://www.allrecipes.com/recipe/8149/flourless-chocolate-cake-i/
Gingerbread Men,79,30,3.3 ,11.5,1 ,14 ,63 ,Desserts,https://www.allrecipes.com/recipe/9329/gingerbread-men/
Shortbread Cookies II,490,12,31.1 ,48.6,4.6 ,81 ,219 ,Desserts,https://www.allrecipes.com/recipe/10269/shortbread-cookies-ii/
Puppy Chow,90,36,3.2 ,14.7,1.7 ,0 ,70 ,Desserts,https://www.allrecipes.com/recipe/15820/puppy-chow/
Molasses Cookies,120,30,4.7 ,18.6,1.1 ,6 ,179 ,Desserts,https://www.allrecipes.com/recipe/9311/molasses-cookies/
Cinnamon Coffee Cake II,282,24,15.7 ,34.1,2.8 ,31 ,275 ,Desserts,https://www.allrecipes.com/recipe/15399/cinnamon-coffee-cake-ii/
Peanut Butter Kiss Cookies,311,9,17.9 ,33.5,8.5 ,23 ,147 ,Desserts,https://www.allrecipes.com/recipe/9806/peanut-butter-kiss-cookies/
White Chocolate Macadamia Nut Cookies III,122,48,7.4 ,13,1.4 ,19 ,85 ,Desserts,https://www.allrecipes.com/recipe/10025/white-chocolate-macadamia-nut-cookies-iii/
Autumn Cheesecake,341,12,23.4 ,30.3,5.1 ,82 ,165 ,Desserts,https://www.allrecipes.com/recipe/7700/autumn-cheesecake/
Soft Chocolate Chip Cookies II,411,12,23.1 ,51.1,3.7 ,36 ,220 ,Desserts,https://www.allrecipes.com/recipe/10711/soft-chocolate-chip-cookies-ii/
Marshmallow Treats,65,24,2 ,11.8,0.6 ,5 ,65 ,Desserts,https://www.allrecipes.com/recipe/9959/marshmallow-treats/
One Bowl Brownies,398,12,24.1 ,45.5,5.5 ,77 ,102 ,Desserts,https://www.allrecipes.com/recipe/9910/one-bowl-brownies/
Pumpkin Cake III,438,14,26.8 ,46.8,5.3 ,53 ,404 ,Desserts,https://www.allrecipes.com/recipe/19079/pumpkin-cake-iii/
Coconut Poke Cake,304,24,13.8 ,43.4,3 ,6 ,200 ,Desserts,https://www.allrecipes.com/recipe/7994/coconut-poke-cake/
Best Ever Blueberry Cobbler,335,6,16.6 ,45.6,3.3 ,72 ,142 ,Desserts,https://www.allrecipes.com/recipe/15373/best-ever-blueberry-cobbler/
Crazy Cake,250,18,9.7 ,39.5,2.6 ,0 ,271 ,Desserts,https://www.allrecipes.com/recipe/7475/crazy-cake/
Frosted Banana Bars,160,36,7.3 ,22.9,1.4 ,20 ,107 ,Desserts,https://www.allrecipes.com/recipe/25059/frosted-banana-bars/
Apple Oatmeal Crisp,376,8,12.4 ,65.2,3.2 ,31 ,91 ,Desserts,https://www.allrecipes.com/recipe/24127/apple-oatmeal-crisp/
Hasty Chocolate Pudding,203,4,3.4 ,40.3,5.4 ,10 ,52 ,Desserts,https://www.allrecipes.com/recipe/69960/hasty-chocolate-pudding/
Chewy Peanut Butter Brownies,177,16,8.5 ,22.8,3.7 ,23 ,158 ,Desserts,https://www.allrecipes.com/recipe/11504/chewy-peanut-butter-brownies/
Heavenly White Cake,336,12,12.2 ,52.1,4.7 ,32 ,417 ,Desserts,https://www.allrecipes.com/recipe/7703/heavenly-white-cake/
Pumpkin Ginger Cupcakes,211,24,8.7 ,31.8,2.4 ,51 ,303 ,Desserts,https://www.allrecipes.com/recipe/152120/pumpkin-ginger-cupcakes/
Snickerdoodles I,125,36,6.1 ,16.5,1.3 ,10 ,71 ,Desserts,https://www.allrecipes.com/recipe/11624/snickerdoodles-i/
White Almond Wedding Cake,211,20,6.6 ,35.3,2.9 ,5 ,275 ,Desserts,https://www.allrecipes.com/recipe/176581/white-almond-wedding-cake/
Chef John's Lemon Bars,153,16,6.7 ,21.8,1.9 ,51 ,47 ,Desserts,https://www.allrecipes.com/recipe/232799/chef-johns-lemon-bars/
A-Number-1 Banana Cake,346,12,12.2 ,55.8,5.5 ,52 ,324 ,Desserts,https://www.allrecipes.com/recipe/7754/a-number-1-banana-cake/
Garbanzo Bean Chocolate Cake (Gluten Free!),229,12,8.5 ,36.8,5.2 ,62 ,180 ,Desserts,https://www.allrecipes.com/recipe/149550/garbanzo-bean-chocolate-cake-gluten-free/
Apple Crumb Pie,408,8,14.6 ,69.9,3.5 ,11 ,139 ,Desserts,https://www.allrecipes.com/recipe/15587/apple-crumb-pie/
Microwave Chocolate Mug Cake,603,1,30.4 ,82,6.9 ,4 ,470 ,Desserts,https://www.allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/
Aunt Anne's Coffee Cake,235,15,10 ,34.1,2.9 ,38 ,201 ,Desserts,https://www.allrecipes.com/recipe/27491/aunt-annes-coffee-cake/
Buckeye Balls II,204,30,12 ,22.8,3.7 ,8 ,81 ,Desserts,https://www.allrecipes.com/recipe/15171/buckeye-balls-ii/
Caramel Shortbread Squares,119,40,7.3 ,13.2,1.1 ,17 ,44 ,Desserts,https://www.allrecipes.com/recipe/15347/caramel-shortbread-squares/
Pineapple Upside-Down Cake VII,360,12,12.3 ,61.8,2 ,20 ,346 ,Desserts,https://www.allrecipes.com/recipe/17691/pineapple-upside-down-cake-vii/
Vegan Chocolate Cake,275,8,9.7 ,44.6,3 ,0 ,304 ,Desserts,https://www.allrecipes.com/recipe/16779/vegan-chocolate-cake/
Cake Mix Cookies VIII,166,24,9.7 ,20.2,2.1 ,26 ,212 ,Desserts,https://www.allrecipes.com/recipe/23337/cake-mix-cookies-viii/
Chocolate Zucchini Cake III,269,24,17.5 ,27.2,3.4 ,31 ,188 ,Desserts,https://www.allrecipes.com/recipe/17643/chocolate-zucchini-cake-iii/
German Chocolate Cake III,735,12,40.6 ,88.3,9.1 ,187 ,458 ,Desserts,https://www.allrecipes.com/recipe/17644/german-chocolate-cake-iii/
Strawberry Angel Food Dessert,261,18,11 ,36.3,3.2 ,27 ,242 ,Desserts,https://www.allrecipes.com/recipe/22137/strawberry-angel-food-dessert/
Rhubarb and Strawberry Pie,437,8,18.8 ,64.1,5 ,33 ,259 ,Desserts,https://www.allrecipes.com/recipe/12612/rhubarb-and-strawberry-pie/
Caramel Filled Chocolate Cookies,253,24,13 ,33.1,3.4 ,37 ,128 ,Desserts,https://www.allrecipes.com/recipe/10642/caramel-filled-chocolate-cookies/
Apple Enchilada Dessert,484,6,13.5 ,88.3,4.5 ,0 ,400 ,Desserts,https://www.allrecipes.com/recipe/18359/apple-enchilada-dessert/
The Whole Jar of Peanut Butter Cookies,272,30,17.5 ,24.5,6.9 ,35 ,210 ,Desserts,https://www.allrecipes.com/recipe/11520/the-whole-jar-of-peanut-butter-cookies/
Beth's Chocolate Chip Cookies,112,72,6.4 ,13.6,1.2 ,10 ,65 ,Desserts,https://www.allrecipes.com/recipe/10337/beths-chocolate-chip-cookies/
Black Bean Brownies,126,16,5.3 ,18.1,3.3 ,35 ,129 ,Desserts,https://www.allrecipes.com/recipe/161701/black-bean-brownies/
Spooky Witches' Fingers,68,60,4.1 ,6.9,1.1 ,11 ,76 ,Desserts,https://www.allrecipes.com/recipe/146819/spooky-witches-fingers/
Cake Mix Cookies IV,137,24,7.3 ,16.6,1.5 ,16 ,147 ,Desserts,https://www.allrecipes.com/recipe/10926/cake-mix-cookies-iv/
Marbled Pumpkin Cheesecake,350,12,25.3 ,26.8,5.8 ,101 ,221 ,Desserts,https://www.allrecipes.com/recipe/23046/marbled-pumpkin-cheesecake/
Peach Cobbler Dump Cake I,155,24,6.4 ,24.3,1.2 ,11 ,171 ,Desserts,https://www.allrecipes.com/recipe/7987/peach-cobbler-dump-cake-i/
Black Bottom Cupcakes I,171,24,8.9 ,22.4,2.3 ,18 ,145 ,Desserts,https://www.allrecipes.com/recipe/8221/black-bottom-cupcakes-i/
Fresh Strawberry Upside Down Cake,290,12,5 ,58.3,3.1 ,< 1 ,331 ,Desserts,https://www.allrecipes.com/recipe/188567/fresh-strawberry-upside-down-cake/
Orange Cake,410,12,19.8 ,55,4.2 ,73 ,443 ,Desserts,https://www.allrecipes.com/recipe/8047/orange-cake/
Hot Fudge Ice Cream Bar Dessert,575,12,28.1 ,70.7,11.9 ,31 ,257 ,Desserts,https://www.allrecipes.com/recipe/22728/hot-fudge-ice-cream-bar-dessert/
Magic Cookie Bars from EAGLE BRAND®,167,36,9.8 ,13.9,1.7 ,11 ,64 ,Desserts,https://www.allrecipes.com/recipe/63959/magic-cookie-bars-from-eagle-brand/
Blueberry Crumb Bars,318,15,14.4 ,45.3,3.3 ,12 ,77 ,Desserts,https://www.allrecipes.com/recipe/10462/blueberry-crumb-bars/
Urban Legend Chocolate Chip Cookies,141,60,7.7 ,17.5,2 ,15 ,76 ,Desserts,https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/
Chocolate Mint Candies Cookies,162,40,7.4 ,23.8,1.7 ,18 ,99 ,Desserts,https://www.allrecipes.com/recipe/16212/chocolate-mint-candies-cookies/
Caramels,115,60,6.3 ,14.8,0.5 ,20 ,30 ,Desserts,https://www.allrecipes.com/recipe/16018/caramels/
Classic Tiramisu,568,12,31.8 ,59.6,9.8 ,303 ,113 ,Desserts,https://www.allrecipes.com/recipe/8490/classic-tiramisu/
Magic Peanut Butter Middles,289,15,15.5 ,34.4,6.7 ,12 ,199 ,Desserts,https://www.allrecipes.com/recipe/10064/magic-peanut-butter-middles/
Cranberry Hootycreeks,126,18,4.2 ,21.2,1.7 ,1 ,106 ,Desserts,https://www.allrecipes.com/recipe/15262/cranberry-hootycreeks/
Lemon Pie Bars,136,32,6.5 ,18.4,1.8 ,39 ,50 ,Desserts,https://www.allrecipes.com/recipe/11458/lemon-pie-bars/
White Chocolate Chip Oatmeal Cookies,223,36,11.4 ,27.9,2.9 ,26 ,166 ,Desserts,https://www.allrecipes.com/recipe/15482/white-chocolate-chip-oatmeal-cookies/
Oatmeal Chocolate Chip Cookies I,144,42,7.8 ,18.5,1.6 ,9 ,91 ,Desserts,https://www.allrecipes.com/recipe/9907/oatmeal-chocolate-chip-cookies-i/
Sour Cream Coffee Cake III,306,18,14.9 ,41.4,2.9 ,57 ,142 ,Desserts,https://www.allrecipes.com/recipe/8130/sour-cream-coffee-cake-iii/
Fruit Pizza I,324,10,17.7 ,37.9,4 ,68 ,260 ,Desserts,https://www.allrecipes.com/recipe/12604/fruit-pizza-i/
Creamy Blueberry Pie,440,8,17.8 ,67.3,4.8 ,68 ,250 ,Desserts,https://www.allrecipes.com/recipe/12155/creamy-blueberry-pie/
Streusel Topped Blueberry Muffins,266,12,10.9 ,38.9,4 ,57 ,263 ,Desserts,https://www.allrecipes.com/recipe/6854/streusel-topped-blueberry-muffins/
Cake Mixes from Scratch and Variations,142,24,5 ,22.5,2.1 ,16 ,144 ,Desserts,https://www.allrecipes.com/recipe/8063/cake-mixes-from-scratch-and-variations/
